name,review_count,rating,longitude,latitude,country,state,price
Postino LoHi,623,4.5,-105.01045,39.76151,US,CO,2
Esters Neighborhood Pub,699,4.5,-104.921157823147,39.6813687156506,US,CO,2
The Capital Grille,670,4.5,-104.99867,39.747876,US,CO,4
Vine Street Pub & Brewery,921,4.0,-104.96201,39.7434,US,CO,2
Torta Grill,450,4.5,-104.9656399,39.73974,US,CO,1
Hops & Pie,943,4.5,-105.04369,39.77136,US,CO,2
Salute,1112,4.5,-72.6759886,41.765561,US,CT,2
Bear's Smokehouse Barbecue,1294,4.0,-72.671375,41.762647,US,CT,2
Tangiers International,230,4.5,-72.7106645,41.7668276,US,CT,1
The Blind Pig Pizza,350,4.5,-72.6706899,41.76173,US,CT,2
Max Downtown,380,4.0,-72.676782,41.766767,US,CT,3
Trumbull Kitchen,642,4.0,-72.67533,41.76671,US,CT,2
The Capital Grille,331,4.5,-72.6704199,41.76289,US,CT,3
Tisane Euro Asian Cafe,398,4.0,-72.7101799,41.766,US,CT,2
Black-Eyed Sally's,483,4.0,-72.6796144164554,41.7677786099917,US,CT,2
Wadsworth Atheneum Museum of Art,110,4.5,-72.6735792,41.7637182,US,CT,N/A
Little River Restoratives,118,4.5,-72.6889854612039,41.7636674445296,US,CT,2
The Half Door,292,4.0,-72.7070923542277,41.7662972085052,US,CT,2
Republic at the Linden,248,4.0,-72.67513,41.76098,US,CT,2
Mark Twain House & Museum,173,4.5,-72.701329,41.766379,US,CT,N/A
Story and Soil Coffee,101,4.5,-72.68842,41.76372,US,CT,1
El Pollo Guapo,131,4.5,-72.6714269815767,41.7626800556192,US,CT,2
Monte Alban Restaurant,199,4.0,-72.7097456,41.7662633,US,CT,2
Tastease,149,4.0,-72.7073869,41.7547683,US,CT,1
King and I Thai Kitchen,198,4.0,-72.71043,41.7562,US,CT,2
Craftbird Food Truck,89,4.5,-72.68213,41.75818,US,CT,1
Banh Meee,92,4.5,-72.6888,41.76369,US,CT,1
First and Last Bakery Cafe,182,4.0,-72.6872,41.73404,US,CT,1
The Tap Room at City Steam,575,3.5,-72.67283,41.76806,US,CT,2
Han Restaurant,160,4.0,-72.71413,41.75547,US,CT,2
Agave Grill,366,3.5,-72.6782116,41.768546,US,CT,2
On20,158,4.0,-72.66924,41.76658,US,CT,4
The Place 2 Be,281,3.5,-72.6742879236251,41.7309960391979,US,CT,2
V's Trattoria,147,4.0,-72.6748402,41.768552,US,CT,2
El Nuevo Sarape Restaurant,101,4.0,-72.6873383,41.7567139,US,CT,2
The Kitchen,75,4.5,-72.6869584,41.7619257,US,CT,1
Dish Bar & Grill,269,3.5,-72.6729361954103,41.7674468315466,US,CT,3
Connecticut Science Center,117,4.0,-72.66920199565,41.764693021911,US,CT,N/A
Juiced Up,78,4.5,-72.67742,41.7672349,US,CT,1
Broasterant,59,4.5,-72.68763,41.75817,US,CT,1
Modern Pastry Shop,75,4.5,-72.6752755,41.7381201,US,CT,2
J's Crab Shack,208,3.5,-72.713795,41.756855,US,CT,2
Wood-n-Tap Bar & Grill- Hartford,176,4.0,-72.7065551,41.7606661,US,CT,2
Rush Bowls,53,4.5,-72.6723753,41.7629823,US,CT,N/A
Fire & Spice Vegan Restaurant,54,4.5,-72.6928699761629,41.7634105682373,US,CT,1
Feng Chophouse,69,4.5,-72.67507,41.76687,US,CT,N/A
The Rockin Chicken,71,4.5,-72.6751167270821,41.7362302183805,US,CT,2
Sorella,189,3.5,-72.67326,41.7675937,US,CT,2
Aladdin Halal,204,3.5,-72.67874,41.76821,US,CT,1
Pho 501,402,4.5,-72.643853,41.757567,US,CT,1
Zaytoon's Bistro,273,4.5,-72.72218,41.75762,US,CT,2
Plan B Burger Bar,589,4.0,-72.720807,41.757962,US,CT,2
Carbone's Ristorante,150,4.0,-72.67429,41.73232,US,CT,3
Bin228 Panini & Wine Bar,114,4.0,-72.6775834,41.7665672,US,CT,2
Ichiban Japanese & Korean Restaurant,166,3.5,-72.7097715396627,41.7666611495948,US,CT,2
Vaughan's Public House,148,3.5,-72.67434,41.76742,US,CT,2
Founding Farmers - Washington,13762,4.0,-77.04442,38.90029,US,DC,2
Old Ebbitt Grill,8494,4.0,-77.033362,38.898005,US,DC,2
Baked & Wired,4485,4.5,-77.0602477800762,38.9039128490789,US,DC,2
Zaytinya,4669,4.0,-77.02349,38.89904,US,DC,3
Le Diplomate,3566,4.5,-77.031575,38.911359,US,DC,3
Rasika,3111,4.5,-77.0212860107422,38.8950080871582,US,DC,3
Rose's Luxury,1955,4.5,-76.99534,38.88063,US,DC,3
Lincoln Memorial,1000,5.0,-77.0502001422584,38.8893459813715,US,DC,N/A
A Baked Joint,1891,4.5,-77.017275,38.902465,US,DC,1
il Canale,3200,4.5,-77.0609744,38.904493,US,DC,2
Ambar,1565,4.5,-76.99534,38.88208,US,DC,2
National Museum of African American History and Culture,876,4.5,-77.032617,38.8910644,US,DC,N/A
Daikaya Ramen Shop,3136,4.0,-77.0195899,38.8986,US,DC,2
Filomena Ristorante,2611,4.0,-77.062546,38.90443,US,DC,3
Blue Duck Tavern,2399,4.0,-77.0511932944776,38.9055917636612,US,DC,3
Amsterdam Falafelshop,1911,4.5,-77.041862487793,38.921199798584,US,DC,1
Keren Restaurant,1116,4.5,-77.041258,38.916777,US,DC,2
Smithsonian National Museum of Natural History,1055,4.5,-77.026136,38.891608,US,DC,N/A
Toki Underground,2249,4.0,-76.9890601862829,38.9002596732333,US,DC,2
Farmers Fishers Bakers,3720,4.0,-77.05973,38.901715,US,DC,2
Fogo de Chão Brazilian Steakhouse,1851,4.0,-77.0273284769837,38.8951162456108,US,DC,3
National Gallery of Art,679,4.5,-77.0198351875512,38.8913416579172,US,DC,N/A
United States Holocaust Memorial Museum,793,4.5,-77.032680915553,38.886664736668,US,DC,N/A
"Joe's Seafood, Prime Steak & Stone Crab",1435,4.5,-77.0337614773155,38.9000975754609,US,DC,3
Unconventional Diner,1129,4.5,-77.0238,38.906139,US,DC,2
National Portrait Gallery,589,4.5,-77.023054,38.897871,US,DC,N/A
The Pig,1852,4.0,-77.03229,38.90793,US,DC,2
Busboys and Poets - 14th and V,2330,4.0,-77.031616,38.917924,US,DC,2
Farmbird,598,5.0,-76.99734,38.89984,US,DC,2
Barcelona Wine Bar,1687,4.0,-77.0323499,38.91211,US,DC,2
Thip Khao,1133,4.5,-77.0329276871505,38.933025306328,US,DC,2
Busboys and Poets - 450K,2337,4.0,-77.018335,38.902325,US,DC,2
Reren,1902,4.0,-77.0215911865234,38.900318145752,US,DC,2
